Top 10 in network STRING network ranked by Degree method,,,,,,,,
Rank,Name,Score,,,,,,
1,FBpp0084906,81,,,,Degree,name,display name
2,FBpp0071794,74,,,,85,FBpp0084906,ATPsyngamma
3,FBpp0310433,61,,,,82,FBpp0071794,blw
4,FBpp0081947,60,,,,64,FBpp0304248,ND-ACP
5,FBpp0072975,59,,,,62,FBpp0082459,UQCR-C1
5,FBpp0082459,59,,,,62,FBpp0081947,COX5A
7,FBpp0082645,58,,,,61,7227.FBpp0310433,ATPsyndelta
8,FBpp0304538,55,,,,60,FBpp0082645,ND-23
8,FBpp0077859,55,,,,60,FBpp0072975,ND-30
8,FBpp0085489,55,,,,58,FBpp0085489,SdhB
,,,,,,56,FBpp0078918,COX5B
,,,,,,56,FBpp0075069,UQCR-C2
